user_id,username,user_url,confirm_owner,detail_name,country,user_followers,user_following,track
1084,2F Friendly Sessions,https://www.soundcloud.com/twofriendsfriendlysessions,Yes,Two Friends,"Los Angeles, United States",32536,5,57
1225,99xxxx,https://www.soundcloud.com/99xxxx,Not yet,,,286,0,4207
783,radiofluxo,https://www.soundcloud.com/radiofluxo,Not yet,,,408,1,27569
257,InheritanceTracks,https://www.soundcloud.com/inheritancetracks,Not yet,,,39179,194,23
1262,604recordsmusic,https://www.soundcloud.com/604recordsmusic,Not yet,604 Records,"Vancouver, Canada",250,5,76
915,VOA Dari,https://www.soundcloud.com/voa-dari,Not yet,,,395,0,8
455,Edinburgh Festival Fringe,https://www.soundcloud.com/edfringe,Not yet,Edinburgh Festival Fringe,Edinburgh,315013,1,4
1282,6HOST,https://www.soundcloud.com/6hosttown,Yes,,Los Angeles,6936,173,91
989,UNDERGROUND RESISTANCE,https://www.soundcloud.com/undergroundresistance,Not yet,UR,"Detroit, United States",42659,0,16
896,vm95,https://www.soundcloud.com/user-773555195,Not yet,,,2892,0,22723
185,KompaDirek,https://www.soundcloud.com/kompdirek,Not yet,LAIBHEN,"LAKOU, BROOKLYN",3262,42,14
238,Notes For Notes,https://www.soundcloud.com/notesfornotes,Not yet,,"Austin | Brooklyn | Cleveland | Det, United States",849,64,2080
1280,666 Repost,https://www.soundcloud.com/666repostofficial,Not yet,By 666 Records,"California, United States",2061,10,219
1353,8Ball305,https://www.soundcloud.com/8ball_305,Not yet,Fat Jesu$,Carol City,9300,4,729
635,Syrian Foreign Radios,https://www.soundcloud.com/syrianforeignradios,Not yet,Syrian Foreign Radios,"Damascus, Syrian Arab Republic",415,0,16320
1246,98.7 WVMO,https://www.soundcloud.com/voice-of-monona-wvmo,Not yet,Voice of Monona WVMO,Monona,206,7,1589
712,021G,https://www.soundcloud.com/gandom-021,Not yet,Gandom 021,United Kingdom,34344,1,6
738,0123456,https://www.soundcloud.com/user-95444912,Not yet,,,11,0,4
